Permit Issued,County,Township,API #,Status,Operator,Well Name & Number,Surface Lat,Surface Long,Endpoint Lat,Endpoint Long
11/02/2011,ASHLAND,CLEAR CREEK,34005241600100,Drilled,DEVON ENERGY PRODUCTION CO,EICHELBERGER DAVID 1H,40.9466508,-82.4034777,40.9466509,-82.4036587
06/07/2013,ASHTABULA,WAYNE,34007245510100,Permitted,BEUSA ENERGY LLC,MAGYAR 9 1H,41.5204837,-80.6934257,41.5005237,-80.6788228
04/09/2012,BELMONT,MEAD,34013206530000,Producing,XTO ENERGY INC.,KALDOR 2H,39.9773526,-80.8380489,39.969831,-80.819645
04/09/2012,BELMONT,MEAD,34013206540100,Producing,XTO ENERGY INC.,KALDOR 1H,39.9760339,-80.8381875,39.9667858,-80.8196294
06/15/2012,BELMONT,KIRKWOOD,34013206570100,Producing,GULFPORT ENERGY CORPORATION,SHUGERT 1-1H,40.0431192,-81.1231952,40.0574876,-81.1320239
06/21/2012,BELMONT,WARREN,34013206580100,Producing,GULFPORT ENERGY CORPORATION,SHUGERT 1-12H,40.0326937,-81.1457695,40.0538862,-81.1556195
03/21/2012,BELMONT,WHEELING,34013206600100,Producing,HESS OHIO RESOURCES LLC,CAPSTONE HOLDINGS 2H-9,40.149804,-81.0174046,40.1357399,-81.0091857
03/07/2013,BELMONT,RICHLAND,34013206610000,Producing,HESS OHIO RESOURCES LLC,PORTERFIELD GAS UNIT C 1H-17,40.0889823,-80.9331631,40.1041411,-80.9390199
06/05/2014,BELMONT,RICHLAND,34013206620000,Permitted,XTO ENERGY INC.,COOK UNIT 1H,40.0003036,-80.8906802,39.9886712,-80.8682598
08/16/2012,BELMONT,SOMERSET,34013206650100,Permitted,GULFPORT ENERGY CORPORATION,STUTZMAN 1-14H,39.8905262,-81.1714758,39.8693232,-81.1571086
09/07/2012,BELMONT,SOMERSET,34013206700100,Producing,GULFPORT ENERGY CORPORATION,STUTZMAN 1-14H,39.8905637,-81.1709048,39.8687881,-81.1568944
