WKT,X,Y,longitude,latitude,county
"POINT (-77.153515 41.740852)",-77.1535150000,41.7408520000,-77.1535150000,41.7408520000,Tioga
"POINT (-77.260538571499083 41.647655786461229)",-77.2605380000,41.6476557000,-77.2605380000,41.6476557000,Tioga
"POINT (-77.259214720617194 41.646778438862739)",-77.2592140000,41.6467784000,-77.2592140000,41.6467784000,Tioga
"POINT (-77.347460160227754 41.616097682781479)",-77.3474600000,41.6160976000,-77.3474600000,41.6160976000,Tioga
"POINT (-76.93248273691998 41.619969169857313)",-76.9324820000,41.6199691000,-76.9324820000,41.6199691000,Tioga
"POINT (-76.9981455 41.7734525)",-76.9981450000,41.7734525000,-76.9981450000,41.7734525000,Tioga
"POINT (-76.896812 41.622406)",-76.8968120000,41.6224060000,-76.8968120000,41.6224060000,Tioga
"POINT (-75.991960424474257 41.882497227822931)",-75.9919600000,41.8824972000,-75.9919600000,41.8824972000,Susquehanna
"POINT (-77.408432407300495 41.687904327787372)",-77.4084320000,41.6879043000,-77.4084320000,41.6879043000,Tioga
"POINT (-77.019609 41.5761715)",-77.0196090000,41.5761715000,-77.0196090000,41.5761715000,Tioga
"POINT (-76.934686759891164 41.87653990113445)",-76.9346860000,41.8765399000,-76.9346860000,41.8765399000,Tioga
"POINT (-76.024437 41.709785)",-76.0244370000,41.7097850000,-76.0244370000,41.7097850000,Susquehanna
"POINT (-76.105236 41.766364)",-76.1052360000,41.7663640000,-76.1052360000,41.7663640000,Susquehanna
"POINT (-76.103031 41.770681)",-76.1030310000,41.7706810000,-76.1030310000,41.7706810000,Susquehanna
"POINT (-75.886048819338058 41.698413427336789)",-75.8860480000,41.6984134000,-75.8860480000,41.6984134000,Susquehanna
"POINT (-80.499501691539791 40.430325829233851)",-80.4995010000,40.4303258000,-80.4995010000,40.4303258000,Washington
"POINT (-75.76444233232634 41.830232394613915)",-75.7644420000,41.8302323000,-75.7644420000,41.8302323000,Susquehanna
"POINT (-80.449874915677512 40.28143910019412)",-80.4498740000,40.2814391000,-80.4498740000,40.2814391000,Washington
"POINT (-76.102837412968171 41.770786537651801)",-76.1028370000,41.7707865000,-76.1028370000,41.7707865000,Susquehanna
"POINT (-75.643123442565255 41.713011721710402)",-75.6431230000,41.7130117000,-75.6431230000,41.7130117000,Susquehanna
"POINT (-80.283863196009918 40.329729068463038)",-80.2838630000,40.3297290000,-80.2838630000,40.3297290000,Washington
"POINT (-80.246989576230547 40.043780976035571)",-80.2469890000,40.0437809000,-80.2469890000,40.0437809000,Washington
"POINT (-76.602539577187244 41.254565914508298)",-76.6025390000,41.2545659000,-76.6025390000,41.2545659000,Lycoming
"POINT (-76.602716486816803 41.254981024506648)",-76.6027160000,41.2549810000,-76.6027160000,41.2549810000,Lycoming
"POINT (-76.630086935653026 41.249394215331918)",-76.6300860000,41.2493942000,-76.6300860000,41.2493942000,Lycoming
"POINT (-76.629445125456201 41.249691810260323)",-76.6294450000,41.2496918000,-76.6294450000,41.2496918000,Lycoming
"POINT (-80.350307463135834 40.245255330904214)",-80.3503070000,40.2452553000,-80.3503070000,40.2452553000,Washington
"POINT (-80.299089049628222 40.329585588324981)",-80.2990890000,40.3295855000,-80.2990890000,40.3295855000,Washington
"POINT (-80.26185540113697 40.249635721530296)",-80.2618550000,40.2496357000,-80.2618550000,40.2496357000,Washington
"POINT (-80.227647118593495 40.089542876124412)",-80.2276470000,40.0895428000,-80.2276470000,40.0895428000,Washington
"POINT (-76.630162019968864 41.223386820110406)",-76.6301620000,41.2233868000,-76.6301620000,41.2233868000,Lycoming
"POINT (-80.029847 40.226981)",-80.0298470000,40.2269810000,-80.0298470000,40.2269810000,Washington
"POINT (-76.823927270304068 41.886686194119576)",-76.8239270000,41.8866861000,-76.8239270000,41.8866861000,Bradford
"POINT (-75.852756364529313 41.669881863918981)",-75.8527560000,41.6698818000,-75.8527560000,41.6698818000,Susquehanna
"POINT (-79.934695899655352 40.1888623660031)",-79.9346950000,40.1888623000,-79.9346950000,40.1888623000,Washington
"POINT (-79.941133 40.189509)",-79.9411330000,40.1895090000,-79.9411330000,40.1895090000,Washington
"POINT (-77.190023 41.388809)",-77.1900230000,41.3888090000,-77.1900230000,41.3888090000,Lycoming
"POINT (-77.233454 41.366861)",-77.2334540000,41.3668610000,-77.2334540000,41.3668610000,Lycoming
"POINT (-76.499509741123305 41.253383500978728)",-76.4995090000,41.2533835000,-76.4995090000,41.2533835000,Lycoming
"POINT (-76.861019500000012 41.7713175)",-76.8610190000,41.7713175000,-76.8610190000,41.7713175000,Bradford
"POINT (-76.81690459658148 41.728254531669059)",-76.8169040000,41.7282545000,-76.8169040000,41.7282545000,Bradford
"POINT (-80.447708999886586 40.281999079556307)",-80.4477080000,40.2819990000,-80.4477080000,40.2819990000,Washington
"POINT (-80.272802857315952 40.231456354452213)",-80.2728020000,40.2314563000,-80.2728020000,40.2314563000,Washington
"POINT (-77.069103 41.432838)",-77.0691030000,41.4328380000,-77.0691030000,41.4328380000,Lycoming
"POINT (-77.0584785 41.429038)",-77.0584780000,41.4290380000,-77.0584780000,41.4290380000,Lycoming
"POINT (-77.389768935072595 41.291224588510026)",-77.3897680000,41.2912245000,-77.3897680000,41.2912245000,Lycoming
"POINT (-77.375700501330329 41.369385622076983)",-77.3757000000,41.3693856000,-77.3757000000,41.3693856000,Lycoming
"POINT (-75.7667105 41.816463)",-75.7667100000,41.8164630000,-75.7667100000,41.8164630000,Susquehanna
"POINT (-75.765132 41.817233)",-75.7651320000,41.8172330000,-75.7651320000,41.8172330000,Susquehanna
"POINT (-80.296367211062574 40.079597055334126)",-80.2963670000,40.0795970000,-80.2963670000,40.0795970000,Washington
"POINT (-77.135099371181397 41.376769790951627)",-77.1350990000,41.3767697000,-77.1350990000,41.3767697000,Lycoming
"POINT (-76.837819438098208 41.445073911242936)",-76.8378190000,41.4450739000,-76.8378190000,41.4450739000,Lycoming
"POINT (-76.659344312642958 41.273949696744019)",-76.6593440000,41.2739496000,-76.6593440000,41.2739496000,Lycoming
"POINT (-77.023972049130478 41.365187454887611)",-77.0239720000,41.3651874000,-77.0239720000,41.3651874000,Lycoming
"POINT (-80.323568466917365 40.251208064998259)",-80.3235680000,40.2512080000,-80.3235680000,40.2512080000,Washington
"POINT (-80.042841118249044 40.020029309456554)",-80.0428410000,40.0200293000,-80.0428410000,40.0200293000,Washington
"POINT (-80.04140378114144 40.020755347665556)",-80.0414030000,40.0207553000,-80.0414030000,40.0207553000,Washington
"POINT (-80.225412639084354 40.281296557222902)",-80.2254120000,40.2812965000,-80.2254120000,40.2812965000,Washington
"POINT (-80.265832499999988 40.2194835)",-80.2658320000,40.2194835000,-80.2658320000,40.2194835000,Washington
"POINT (-80.266693 40.219957)",-80.2666930000,40.2199570000,-80.2666930000,40.2199570000,Washington
"POINT (-80.2657 40.220413)",-80.2657000000,40.2204130000,-80.2657000000,40.2204130000,Washington
"POINT (-80.267364499999971 40.220815)",-80.2673640000,40.2208150000,-80.2673640000,40.2208150000,Washington
"POINT (-80.2954515 40.409091)",-80.2954510000,40.4090910000,-80.2954510000,40.4090910000,Washington
"POINT (-80.381889224279092 40.296018191082041)",-80.3818890000,40.2960181000,-80.3818890000,40.2960181000,Washington
"POINT (-76.854049286542136 41.899759127724487)",-76.8540490000,41.8997591000,-76.8540490000,41.8997591000,Bradford
"POINT (-76.855866563172015 41.899452730863473)",-76.8558660000,41.8994527000,-76.8558660000,41.8994527000,Bradford
"POINT (-76.586382514165663 41.794472939082524)",-76.5863820000,41.7944729000,-76.5863820000,41.7944729000,Bradford
"POINT (-80.506739476386002 39.974126787688611)",-80.5067390000,39.9741267000,-80.5067390000,39.9741267000,Washington
"POINT (-80.416788147554755 40.220170501107191)",-80.4167880000,40.2201705000,-80.4167880000,40.2201705000,Washington
"POINT (-80.421087407322617 40.205118111770133)",-80.4210870000,40.2051181000,-80.4210870000,40.2051181000,Washington
"POINT (-80.465010784414531 40.261994975003937)",-80.4650100000,40.2619949000,-80.4650100000,40.2619949000,Washington
"POINT (-80.463613278975117 40.263968729938021)",-80.4636130000,40.2639687000,-80.4636130000,40.2639687000,Washington
"POINT (-80.462665073624606 40.265075561160423)",-80.4626650000,40.2650755000,-80.4626650000,40.2650755000,Washington
"POINT (-80.406459173880165 40.178266399369065)",-80.4064590000,40.1782663000,-80.4064590000,40.1782663000,Washington
"POINT (-80.378122 40.209852)",-80.3781220000,40.2098520000,-80.3781220000,40.2098520000,Washington
"POINT (-79.955389377145437 40.030317698953269)",-79.9553890000,40.0303176000,-79.9553890000,40.0303176000,Washington
"POINT (-80.184105621937803 40.085454142048007)",-80.1841050000,40.0854541000,-80.1841050000,40.0854541000,Washington
"POINT (-79.981255292462862 40.170741084643446)",-79.9812550000,40.1707410000,-79.9812550000,40.1707410000,Washington
"POINT (-77.163913169307335 41.367648625678846)",-77.1639130000,41.3676486000,-77.1639130000,41.3676486000,Lycoming
"POINT (-77.278833300934494 41.327152538514817)",-77.2788330000,41.3271525000,-77.2788330000,41.3271525000,Lycoming
"POINT (-80.421537 40.153961)",-80.4215370000,40.1539610000,-80.4215370000,40.1539610000,Washington
"POINT (-80.302532994191282 40.074589139830017)",-80.3025320000,40.0745891000,-80.3025320000,40.0745891000,Washington
"POINT (-80.302895 40.0793095)",-80.3028950000,40.0793095000,-80.3028950000,40.0793095000,Washington
"POINT (-79.974120573485678 40.089110432955337)",-79.9741200000,40.0891104000,-79.9741200000,40.0891104000,Washington
"POINT (-80.21258544803176 40.089798895941911)",-80.2125850000,40.0897988000,-80.2125850000,40.0897988000,Washington
"POINT (-80.215383 40.124183)",-80.2153830000,40.1241830000,-80.2153830000,40.1241830000,Washington
"POINT (-80.30061938564819 40.095643867083851)",-80.3006190000,40.0956438000,-80.3006190000,40.0956438000,Washington
"POINT (-77.391887398949308 41.358909672703327)",-77.3918870000,41.3589096000,-77.3918870000,41.3589096000,Lycoming
"POINT (-79.967734936540381 40.092345372366331)",-79.9677340000,40.0923453000,-79.9677340000,40.0923453000,Washington
"POINT (-77.273051 41.3409805)",-77.2730510000,41.3409805000,-77.2730510000,41.3409805000,Lycoming
"POINT (-76.89028733494284 41.31212255838215)",-76.8902870000,41.3121225000,-76.8902870000,41.3121225000,Lycoming
"POINT (-76.82850883193575 41.32908817262917)",-76.8285080000,41.3290881000,-76.8285080000,41.3290881000,Lycoming
"POINT (-77.010219716466167 41.447017476623259)",-77.0102190000,41.4470174000,-77.0102190000,41.4470174000,Lycoming
"POINT (-77.040416972891805 41.4332963272348)",-77.0404160000,41.4332963000,-77.0404160000,41.4332963000,Lycoming
"POINT (-76.961157627053097 41.346863840538695)",-76.9611570000,41.3468638000,-76.9611570000,41.3468638000,Lycoming
"POINT (-77.175761560008851 41.48730375010998)",-77.1757610000,41.4873037000,-77.1757610000,41.4873037000,Lycoming
"POINT (-77.33884 41.320416)",-77.3388400000,41.3204160000,-77.3388400000,41.3204160000,Lycoming
