id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
14256,3ad6d959-5290-5aee-89db-49a60b0607d0,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.714329598-75.9048059608---2008,0,0,3,3,other,,100,None
16830,f4a94f5a-28ec-57cf-8c99-86feb931709c,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7141360616-76.3056618902---2008,0,0,3,3,other,,100,None
14235,27a07c60-4f26-5a49-853e-bda13777df1a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.6929509386-75.9644480772---2008,0,0,3,3,other,,100,None
14262,3de59bbc-cb49-5929-b8f8-4c0df557a250,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.8779531979-75.8919869954---2008,0,0,3,3,other,,100,None
16848,fc6c2fc5-dd79-56f1-a035-a98989c335c5,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7149465756-76.3659479254---2008,0,3,0,3,fracking,,100,None
14250,37536103-a422-5b78-9d25-55668851f3fa,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7052345156-75.6555569231---2008,0,0,3,3,other,,100,None
16773,dd0e6eef-622a-53fa-9ebf-12508255b56e,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7677753502-76.2476234316---2008,0,0,3,3,other,,100,None
16827,f2b7ab2a-db38-5849-a770-391c0eb9ace4,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.8680597339-76.6041052154---2008,0,0,3,3,other,,100,None
14295,53fe91f8-f98a-5640-8606-b8d53210c53c,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.700733415-75.9589129307---2008,0,0,3,3,other,,100,None
14259,3b3fc808-1d9b-5431-846b-193ad8d827a2,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7208387608-76.0612028869---2008,0,0,3,3,other,,100,None
14187,03ca309a-5b09-5f27-83d9-f6ffad0ef52b,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7149114539-76.0540929797---2008,0,0,3,3,other,,100,None
14256,3ad6d959-5290-5aee-89db-49a60b0607d0,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7070368834-75.898666372---2008,0,0,3,3,other,,100,None
14391,99bfb552-8191-5b76-9af1-7d0e643e7d5f,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7403892758-75.8739028536---2008,0,0,3,3,other,,100,None
14355,822fa782-159f-5318-9202-8b35302dc66b,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7081571035-76.085450139---2008,0,0,3,3,other,,100,None
14154,16dafb84-7c24-54ff-99b3-b033aa5745d9,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Sullivan,2008,41.4598924553-76.4039683606---2008,0,0,3,3,other,,100,None
14166,a3ea12c7-4fd9-52de-8bdb-b434c27a9762,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Sullivan,2008,41.5617672705-76.5235019519---2008,0,0,3,3,other,,100,None
14400,9d77fced-1f7b-5062-8424-2350dcf2b0ab,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7242956811-75.8715595518---2008,0,4,0,4,fracking,,100,None
14355,822fa782-159f-5318-9202-8b35302dc66b,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7057910847-76.0784943173---2008,0,0,3,3,other,,100,None
15885,61727b51-8e0e-5640-a15e-93dfc301aef7,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.700187772-76.439533702---2008,0,0,3,3,other,,100,None
14331,6c26017d-c3b3-54ba-aa73-78f1fd5cd964,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7779675942-75.9429053308---2008,0,0,3,3,other,,100,None
14262,3de59bbc-cb49-5929-b8f8-4c0df557a250,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.8815717253-75.8882378948---2008,0,0,3,3,other,,100,None
14301,5669a49f-5c80-599a-9936-b68bbeeab831,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7543609521-75.8652440148---2008,0,0,3,3,other,,100,None
