InputID,TargetID,Distance,Source
40.20741322-80.38647978---2010,4b0152c9-6f35-5ad5-ae14-3c4a6afa8d06,39.8502614511,Distance_Matrix-UTM17.csv
40.23513029-79.74489197---2008,af59fba7-0207-5f02-96ee-64922d08f6b9,49.3315896247,Distance_Matrix-UTM17.csv
40.38491917-79.49932032---2010,cd536918-95a7-5082-965e-72d5afb44db3,132.415105555,Distance_Matrix-UTM17.csv
40.29175774-78.7797371---2010,592852f6-aad4-507f-a839-a0195d5e1be8,59.9719820164,Distance_Matrix-UTM17.csv
41.0843343-78.02022624---2010,5e4078fe-23cf-500d-a217-0d3f41e5c998,39.2112929891,Distance_Matrix-UTM17.csv
39.97681915-79.43654121---2010,799c4dd7-92ca-56d4-9c6c-89aa9af56022,125.618218671,Distance_Matrix-UTM17.csv
40.01092713-80.01870273---2010,7415c6fe-94e4-51c8-8a58-325bad83b3c1,70.2672781555,Distance_Matrix-UTM17.csv
40.27432791-80.21686239---2010,9597f84a-a2ab-5413-8ac6-07881876f695,49.292421792,Distance_Matrix-UTM17.csv
40.38435037-79.49918072---2010,cd536918-95a7-5082-965e-72d5afb44db3,139.855646838,Distance_Matrix-UTM17.csv
40.08837283-79.9750576---2010,a6c7ed9f-3dd0-50db-9f59-316992d124d6,80.6091782743,Distance_Matrix-UTM17.csv
39.83342633-80.00744217---2010,6bb3becb-ca34-50c8-8faf-4f8cf122a403,375.126362422,Distance_Matrix-UTM17.csv
40.36321847-79.33129478---2010,ffb69ef9-fd3a-5eda-86e0-aa3a8cab95c4,34.3506988635,Distance_Matrix-UTM17.csv
39.77360781-79.99802799---2010,acb3243f-1b22-581f-bb21-36c8abf46d35,119.875663467,Distance_Matrix-UTM17.csv
39.74515133-79.35669247---2010,cab62be9-9b14-5df8-88ed-c08a546b23a6,194.793704701,Distance_Matrix-UTM17.csv
39.92874078-80.02080769---2010,4c977b47-24da-541d-998c-a7d68897db76,39.8601901516,Distance_Matrix-UTM17.csv
40.70474933-79.64263574---2010,154131f2-f607-5d8b-9d00-4879335d47e1,17.6391375738,Distance_Matrix-UTM17.csv
40.12871185-79.77723116---2010,ea2b33d8-fd52-52e6-a036-413b2f3cf61d,45.4290641152,Distance_Matrix-UTM17.csv
40.2285796-80.3222106---2008,ee98eb6b-1fe5-5535-8f7b-7bbefe950f27,45.5653650447,Distance_Matrix-UTM17.csv
40.02050718-80.16715446---2010,9c0dc269-7ef4-5c02-9931-10547db420a0,104.900112638,Distance_Matrix-UTM17.csv
40.27575622-80.23999057---2010,98b89d9a-fc7c-51a8-aff3-610a4246a7f0,40.2403703049,Distance_Matrix-UTM17.csv
40.85872603-79.53412091---2010,95b6a4c2-beb5-504d-a247-98830c302585,590.045961336,Distance_Matrix-UTM17.csv
40.67711088-79.38119553---2010,a6f447b7-5eaf-580a-93df-4cc29d502a41,93.8352973953,Distance_Matrix-UTM17.csv
40.18924974-79.88712684---2010,241784fd-572d-5aa7-a1ea-48cf75148055,601.249590353,Distance_Matrix-UTM17.csv
39.83483001-80.02534808---2010,f03037c8-ac67-55ed-8886-98b584cc1c30,133.920545453,Distance_Matrix-UTM17.csv
40.22531845-79.75080914---2010,8c0c7ea9-aa01-5d89-b7b2-32c27989acc3,134.583169326,Distance_Matrix-UTM17.csv
40.86039768-79.5800714---2010,6b6d72eb-cb9b-5b0c-ab64-9d0b6cca4a15,10.7955324608,Distance_Matrix-UTM17.csv
41.00017026-79.43996299---2010,eb469718-a2fb-5974-83e1-1a9cc5dc0f97,664.76884139,Distance_Matrix-UTM17.csv
39.96918732-79.83859001---2008,be9c2ffc-949e-5e2b-bf1c-16f549fd94f8,14.7894718494,Distance_Matrix-UTM17.csv
40.94805699-78.46451616---2010,8f2992e0-6786-59c4-89f6-3f0d8b9297a3,32.9378764566,Distance_Matrix-UTM17.csv
39.87157686-80.05922698---2008,01afb6ea-6e59-5866-a511-68ef624204ef,45.290031363,Distance_Matrix-UTM17.csv
40.60373141-78.96094391---2010,902b0812-47c3-5314-a4e3-21d45dec0ba6,101.870636248,Distance_Matrix-UTM17.csv
41.57263835-78.62843561---2008,5238e27f-1377-5176-a4a8-0f48e06b5a90,32.9852284214,Distance_Matrix-UTM17.csv
39.91537957-79.9901167---2008,cf4ae599-0dbc-58ae-be8a-01fe8a6ac27f,36.8875440672,Distance_Matrix-UTM17.csv
40.29622975-80.38245893---2010,85b92c7d-80e4-5793-9340-fe8a7084d529,406.837754974,Distance_Matrix-UTM17.csv
39.90265136-79.95550353---2008,0445268b-58ce-50e4-a7d9-b6ee336fc511,34.6488725286,Distance_Matrix-UTM17.csv
40.249402-79.74736451---2008,1a2b7250-9275-57bd-9f2e-bc9fef5f138e,224.094230686,Distance_Matrix-UTM17.csv
40.68106095-79.59518683---2010,629b118a-acda-5ce4-89fe-ac2c95424ebf,41.714532694,Distance_Matrix-UTM17.csv
40.17946568-80.40694503---2008,47ea359a-1f22-5622-908d-6d0dbbcda56b,42.1414956371,Distance_Matrix-UTM17.csv
40.81262255-79.5741673---2010,0acb0d25-da06-51ec-bcc1-fbc724ee07f8,72.8588099572,Distance_Matrix-UTM17.csv
41.03769831-78.06727509---2010,49fa744b-b38a-519e-9c38-a06f3e496b89,29.5977550765,Distance_Matrix-UTM17.csv
40.01023083-79.67296586---2010,f6611992-958f-5f1a-9aec-4b0b56af28bf,31.296747424,Distance_Matrix-UTM17.csv
39.94775483-79.83021807---2010,7a1e22ac-2dcf-57b3-b92d-c111ceabcf13,69.5493018493,Distance_Matrix-UTM17.csv
41.45697025-78.26770914---2010,51f1089c-38de-524b-94bb-bbc7ffe14921,145.962169588,Distance_Matrix-UTM17.csv
40.36972519-79.49738639---2008,aabf6368-b86d-590f-bf54-9a754acbc219,51.8771735569,Distance_Matrix-UTM17.csv
41.20158855-79.21460609---2005,4e509dcc-953e-585a-b906-94c96851a9f5,30.0329422359,Distance_Matrix-UTM17.csv
40.19217825-79.88210925---2010,241784fd-572d-5aa7-a1ea-48cf75148055,97.9449696966,Distance_Matrix-UTM17.csv
40.65940058-78.96322786---2010,121d774d-9aaf-52a5-ab12-4bc363176358,107.674696007,Distance_Matrix-UTM17.csv
40.63020369-79.10280615---2010,d157acae-0943-5348-86f0-3ca8dc9a9074,165.105448739,Distance_Matrix-UTM17.csv
39.88336846-80.0431284---2010,e7479c4f-8e0c-5c93-900e-8598daf5b365,207.844783221,Distance_Matrix-UTM17.csv
40.35984399-79.34034677---2008,d9bb8f9f-c689-565a-952a-09e3ee487e9a,53.1890968745,Distance_Matrix-UTM17.csv
39.96038875-80.09540743---2010,5452eff9-6366-5ef0-9e59-aeef24d432a8,93.8125272,Distance_Matrix-UTM17.csv
41.68647715-78.62340222---2010,062b02e4-3327-5e67-9245-9ca2333e3c41,67.9989258119,Distance_Matrix-UTM17.csv
39.88375583-80.04475872---2010,e7479c4f-8e0c-5c93-900e-8598daf5b365,67.2842346034,Distance_Matrix-UTM17.csv
39.96462738-79.82411448---2010,a6ebaffc-79b8-59ff-b771-32284dcb1b3a,35.4079253527,Distance_Matrix-UTM17.csv
40.24636287-80.26986908---2010,4be7965f-3735-582d-81bb-e8ebf5570d9f,34.7819728463,Distance_Matrix-UTM17.csv
41.0005385-79.79008577---2010,3e6e6065-2465-5ce0-8bf4-9b5865c780cc,18.1791487427,Distance_Matrix-UTM17.csv
39.883326-80.04455997---2010,e7479c4f-8e0c-5c93-900e-8598daf5b365,115.061952143,Distance_Matrix-UTM17.csv
40.27908682-79.75912535---2010,154a9699-4aea-59d9-94bd-25cfbecc3f40,40.9451779363,Distance_Matrix-UTM17.csv
40.70420977-79.64238014---2010,154131f2-f607-5d8b-9d00-4879335d47e1,74.6407495476,Distance_Matrix-UTM17.csv
40.00552897-80.2882478---2010,18c410a0-4751-58f2-aa0e-2586562ff84b,71.9848504453,Distance_Matrix-UTM17.csv
41.67409451-78.25603017---2010,389852ce-9166-54f2-814a-d476063489c7,375.59898413,Distance_Matrix-UTM17.csv
39.94064702-80.26374721---2008,31579713-1f0f-5a33-9cfa-ae67342cb92a,98.7531992934,Distance_Matrix-UTM17.csv
39.95581251-80.26774398---2010,c3ebb120-d82e-57ef-8abb-a58e7ea2f1e8,40.6716140221,Distance_Matrix-UTM17.csv
40.32838695-80.2958319---2010,1c4c5f0d-c457-52a0-bbff-aa486aec1463,28.5751530494,Distance_Matrix-UTM17.csv
40.29424014-79.62443083---2008,eb9f2a2c-8cba-5ca1-9e4c-cc9f877312e5,77.5012242825,Distance_Matrix-UTM17.csv
39.95362193-80.10163592---2010,b863c790-187a-5ceb-82fe-bbdb503db264,37.1016519579,Distance_Matrix-UTM17.csv
40.85480261-79.58078727---2010,75d3c6cb-434a-5554-816b-c023d7c8c5cb,260.330860385,Distance_Matrix-UTM17.csv
41.58360731-78.81895538---2010,afa5f75a-9a8f-5ba4-b46d-49d1066f0695,204.389444431,Distance_Matrix-UTM17.csv
40.83337387-79.68494245---2010,34fe38dc-7a70-560f-a0d6-608d8cf601c8,111.847558295,Distance_Matrix-UTM17.csv
40.01159315-79.87967618---2010,808304fe-7469-5f31-8fab-87ead724562f,41.8691927415,Distance_Matrix-UTM17.csv
