"location", "wms_url", "lat", "lng", "year", "county", "comp_loc", "n_frk_res", "n_oth_res", "n_unk_res", "n_tot_res", "crowd_sel", "p_crd_a", "p_s_crd_a"
"40.11491178-79.81867067---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.1149117774","-79.8186706664","2010","Fayette","sweeper_internal","","1","","1","other","100",""
"41.76817089-76.69233507---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7681708875","-76.6923350681","2010","Bradford","sweeper_internal","","1","","1","other","100",""
"41.72931278-76.82186107---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7293127832","-76.8218610702","2005","Bradford","final_internal","","3","","3","other","100",""
"41.80743778-76.54707538---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.80743778","-76.54707538","2010","Bradford","first_internal","","3","","3","other","100",""
"40.22113744-79.70585215---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.2211374422","-79.7058521504","2005","Westmoreland","final_internal","","4","","4","other","100",""
"39.9980205-79.80787055---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","39.9980204963","-79.8078705461","2005","Fayette","final_internal","","3","","3","other","100",""
"39.8405698-79.98477382---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","39.8405697954","-79.9847738191","2008","Greene","first_internal","","3","","3","other","100",""
"40.64919061-79.38130235---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.6491906119","-79.3813023469","2008","Armstrong","first_internal","","3","","3","other","100",""
"40.83100115-79.14547263---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.8310011456","-79.1454726332","2010","Indiana","public","","11","1","12","other","91",""
"40.13650314-80.26464053---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.1365031396","-80.2646405253","2005","Washington","final_internal","","3","","3","other","100",""
"41.72572707-76.19995553---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.72572707","-76.19995553","2010","Bradford","first_internal","","3","","3","other","100",""
"41.71758458-76.16546651---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7175845785","-76.1654665101","2008","Bradford","final_internal","","3","","3","other","100",""
"41.70955894-76.68076153---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7095589442","-76.6807615297","2005","Bradford","final_internal","","3","","3","other","100",""
"40.20741322-80.38647978---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.2074132225","-80.3864797811","2010","Washington","public","10","","","10","fracking","100",""
"41.97460693-77.56712391---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.9746069325","-77.5671239066","2005","Tioga","missing_internal","","1","","1","other","100",""
"40.49537276-79.56915587---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.4953727589","-79.569155865","2005","Westmoreland","final_internal","","3","","3","other","100",""
"41.6357305-76.40164388---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.6357305","-76.40164388","2010","Bradford","first_internal","","3","","3","other","100",""
"40.74693833-80.03723845---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.7469383342","-80.0372384527","2005","Butler","final_internal","","3","","3","other","100",""
"39.7390139-79.96135403---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.7390138984","-79.9613540253","2010","Greene","sweeper_internal","","1","","1","other","100",""
"40.06626753-79.63372336---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.0662675347","-79.6337233603","2005","Fayette","final_internal","","3","","3","other","100",""
"40.11885877-79.81915927---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","40.1188587721","-79.8191592741","2005","Fayette","final_internal","","3","","3","other","100",""
"41.00191346-78.86898939---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.0019134559","-78.868989385","2005","Jefferson","final_internal","","3","","3","other","100",""
"40.23513029-79.74489197---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","40.2351302888","-79.7448919717","2008","Westmoreland","final_internal","2","","1","3","fracking","66",""
"41.70774248-77.39654055---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7077424767","-77.3965405502","2010","Tioga","public","","12","","12","other","100",""
"41.0480802-77.90733994---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.0480802005","-77.9073399398","2010","Centre","public","","9","2","11","other","81",""
"41.29905428-78.91253058---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.2990542796","-78.9125305791","2008","Jefferson","first_internal","","3","","3","other","100",""
"39.89418709-80.28883762---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","39.8941870858","-80.2888376191","2005","Greene","final_internal","","3","","3","other","100",""
"40.38491917-79.49932032---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.3849191693","-79.4993203234","2010","Westmoreland","public","10","","","10","fracking","100",""
"40.29175774-78.7797371---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.2917577395","-78.7797371006","2010","Cambria","sweeper_internal","1","","","1","fracking","100",""
"39.92666474-79.99977756---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.9266647378","-79.9997775565","2010","Greene","public","","10","","10","other","100",""
"41.41795874-78.26862103---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.4179587417","-78.268621031","2008","Cameron","first_internal","1","2","","3","other","66",""
"41.84007612-76.05449845---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.84007612","-76.05449845","2010","Susquehanna","first_internal","","3","","3","other","100",""
"41.7336226-76.08203939---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.733622599","-76.0820393918","2005","Susquehanna","final_internal","","3","","3","other","100",""
"40.86707039-79.49639581---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","40.8670703851","-79.496395808","2010","Armstrong","sweeper_internal","","1","","1","other","100",""
"41.87861396-76.94914848---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.8786139614","-76.9491484803","2005","Tioga","missing_internal","","1","","1","other","100",""
"41.7464726-75.95191854---2008","https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0","41.7464726031","-75.9519185447","2008","Susquehanna","final_internal","","3","","3","other","100",""
"41.69904045-75.90563668---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.6990404453","-75.9056366764","2005","Susquehanna","final_internal","","3","","3","other","100",""
"41.73685507-75.86462314---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","41.7368550748","-75.8646231383","2010","Susquehanna","sweeper_internal","","1","","1","other","100",""
"41.71826088-76.82464433---2005","https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0","41.7182608814","-76.8246443262","2005","Bradford","final_internal","","3","","3","other","100",""
"39.87488962-80.05701115---2010","https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0","39.8748896193","-80.0570111467","2010","Greene","public","","10","","10","other","100",""
